Model,Sampling,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,NoSampling,0.9870689655172413,0.0,0.0,0.0,0.5356622998544396
LogisticRegression,RandomOverSampler,0.9181034482758621,0.1,0.6666666666666666,0.17391304347826086,0.7147016011644832
LogisticRegression,RandomUnderSampler,0.5775862068965517,0.020202020202020204,0.6666666666666666,0.0392156862745098,0.6724890829694323
LogisticRegression,SMOTE,0.9353448275862069,0.0,0.0,0.0,0.7030567685589519
LogisticRegression,SMOTETomek,0.9267241379310345,0.0625,0.3333333333333333,0.10526315789473684,0.7045123726346434
DecisionTree,NoSampling,0.9741379310344828,0.0,0.0,0.0,0.49344978165938863
DecisionTree,RandomOverSampler,0.9913793103448276,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8311499272197962
DecisionTree,RandomUnderSampler,0.6982758620689655,0.028169014084507043,0.6666666666666666,0.05405405405405406,0.6826783114992723
DecisionTree,SMOTE,0.9741379310344828,0.2857142857142857,0.6666666666666666,0.4,0.8224163027656476
DecisionTree,SMOTETomek,0.9698275862068966,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.655749636098981
RandomForest,NoSampling,0.9870689655172413,0.0,0.0,0.0,0.745269286754003
RandomForest,RandomOverSampler,0.9870689655172413,0.0,0.0,0.0,0.7401746724890829
RandomForest,RandomUnderSampler,0.7025862068965517,0.041666666666666664,1.0,0.08,0.8609898107714702
RandomForest,SMOTE,0.9870689655172413,0.0,0.0,0.0,0.7023289665211062
RandomForest,SMOTETomek,0.9870689655172413,0.0,0.0,0.0,0.8617176128093159
NaiveBayes,NoSampling,0.9698275862068966,0.0,0.0,0.0,0.5705967976710334
NaiveBayes,RandomOverSampler,0.9525862068965517,0.0,0.0,0.0,0.5618631732168851
NaiveBayes,RandomUnderSampler,0.6206896551724138,0.0,0.0,0.0,0.36972343522561857
NaiveBayes,SMOTE,0.9525862068965517,0.0,0.0,0.0,0.6462882096069869
NaiveBayes,SMOTETomek,0.9525862068965517,0.0,0.0,0.0,0.6462882096069869
SVM,NoSampling,0.9870689655172413,0.0,0.0,0.0,0.5647743813682677
SVM,RandomOverSampler,0.875,0.06666666666666667,0.6666666666666666,0.12121212121212122,0.7685589519650655
SVM,RandomUnderSampler,0.7456896551724138,0.03333333333333333,0.6666666666666666,0.06349206349206349,0.2780203784570597
SVM,SMOTE,0.4353448275862069,0.015151515151515152,0.6666666666666666,0.02962962962962963,0.61863173216885
SVM,SMOTETomek,0.4353448275862069,0.015151515151515152,0.6666666666666666,0.02962962962962963,0.6200873362445415
